Comment,Designator,Footprint,LCSC
FerriteBead,FB1,R_0805_2012Metric,C1015
100n,"C1,C3,C4,C5,C6,C8,C9",C_0402_1005Metric,C1525
4.7u,"C2,C7",C_0402_1005Metric,C23733
10k,"R1,R2,R3,R4",R_0603_1608Metric,C25804
1u,C10,C_0402_1005Metric,C52923
STM32F446RETx,U1,LQFP-64_10x10mm_P0.5mm,C69336
WS2812B,D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
~,U4,VL53L0X_horizontal,
~,U3,VL53L0X_horizontal,
~,U6,VL53L0X_horizontal,
~,U2,VL53L0X_horizontal,
~,U5,VL53L0X_horizontal,
~,U7,OpenMV h7,
WS2812B,D9,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,D6,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,D3,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,D12,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,D2,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,D8,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,D4,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,D10,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,D5,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,D7,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,D11,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
ToMAIN,J2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
WRITER CONN,J1,PinSocket_2x04_P2.54mm_Vertical,
