Comment,Designator,Footprint,LCSC
MountingHole,H2,MountingHole_3.2mm_M3,
WS2812B,D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
~,U5,VL53L0X_horizontal,
WS2812B,D4,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,D2,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
~,U2,VL53L0X_horizontal,
WS2812B,D5,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
MountingHole,H1,MountingHole_3.2mm_M3,
~,U4,VL53L0X_horizontal,
WS2812B,D3,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
~,U3,VL53L0X_horizontal,
~,U1,VL53L0X_horizontal,
10k,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
OpenMV Conn,J1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
10k,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
~,U6,MOUDLE14P-2.54-21X17.8MM,
