Comment,Designator,Footprint,LCSC
ToTop,J1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
SW_Push,SW3,SW_PUSH_6mm,
SW_Push,SW2,SW_PUSH_6mm,
SW_Push,SW1,SW_PUSH_6mm,
WS2812B,D3,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,D4,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,D6,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
SSD1306,J2,PinHeader_1x04_P2.54mm_Vertical,
WS2812B,D2,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
SW_SPDT,SW4,PinHeader_1x03_P2.54mm_Vertical,
WS2812B,D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,D5,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
~,U1,XIAO_Board,
10k,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
10k,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
10k,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
10k,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
